"","level1","level2","media","plating","estimate","std.error","df","statistic","p.value"
"1","SP-MSC","SP-TSC","BHI","Pour",-10.5,6.35536461690686,411.001809939541,-1.65214753722664,0.350639395930742
"2","SP-MSC","HHR-TSC","BHI","Pour",1.50849604027394e-15,6.35536461690686,411.001809939541,2.37357906462355e-16,1
"3","SP-MSC","STSE","BHI","Pour",-1,6.35536461690686,411.001809939553,-0.157347384497775,0.998611270626851
"4","SP-TSC","HHR-TSC","BHI","Pour",10.5,6.35536461690677,411.001809939394,1.65214753722667,0.350639395930729
"5","SP-TSC","STSE","BHI","Pour",9.50000000000001,6.35536461690677,411.001809939394,1.49480015272889,0.441550872678903
"6","HHR-TSC","STSE","BHI","Pour",-1,6.35536461690678,411.001809939394,-0.157347384497778,0.998611270626851
"7","SP-MSC","SP-TSC","PCMA","Pour",-23,6.35536461690677,411.00180993943,-3.61898984344888,0.00188228198187324
"8","SP-MSC","HHR-TSC","PCMA","Pour",4.00000000000001,6.35536461690677,411.00180993943,0.629389537991111,0.922564230697456
"9","SP-MSC","STSE","PCMA","Pour",4.00000000000001,6.35536461690677,411.00180993943,0.629389537991112,0.922564230697456
"10","SP-TSC","HHR-TSC","PCMA","Pour",27,6.35536461690678,411.001809939381,4.24837938143999,0.000156079676126297
"11","SP-TSC","STSE","PCMA","Pour",27,6.35536461690677,411.001809939381,4.24837938143999,0.000156079676126186
"12","HHR-TSC","STSE","PCMA","Pour",2.2664162213637e-15,6.35536461690677,411.001809939381,3.56614664614914e-16,1
"13","SP-MSC","SP-TSC","SMA","Pour",-27.2222222222222,6.69914251675629,411.001809939406,-4.06353830421318,0.000336559680434112
"14","SP-MSC","HHR-TSC","SMA","Pour",0.833333333333321,6.69914251675629,411.001809939406,0.12439402972081,0.999311414014378
"15","SP-MSC","STSE","SMA","Pour",0.833333333333319,6.69914251675629,411.001809939406,0.124394029720809,0.999311414014378
"16","SP-TSC","HHR-TSC","SMA","Pour",28.0555555555556,6.69914251675629,411.001809939369,4.18793233393399,0.000201338125689565
"17","SP-TSC","STSE","SMA","Pour",28.0555555555556,6.69914251675629,411.001809939369,4.18793233393399,0.000201338125689565
"18","HHR-TSC","STSE","SMA","Pour",-1.95253969242914e-15,6.69914251675628,411.001809939369,-2.91461136637314e-16,1
"19","SP-MSC","SP-TSC","TSAwS","Pour",-17.25,6.35536461690677,411.001809939418,-2.71424238258666,0.0347934328722068
"20","SP-MSC","HHR-TSC","TSAwS","Pour",9.02167966302808e-15,6.35536461690677,411.001809939418,1.41953769875426e-15,1
"21","SP-MSC","STSE","TSAwS","Pour",8.65973959207622e-15,6.35536461690677,411.001809939406,1.36258737524504e-15,1
"22","SP-TSC","HHR-TSC","TSAwS","Pour",17.25,6.35536461690677,411.001809939369,2.71424238258666,0.0347934328722066
"23","SP-TSC","STSE","TSAwS","Pour",17.25,6.35536461690677,411.001809939369,2.71424238258666,0.0347934328722066
"24","HHR-TSC","STSE","TSAwS","Pour",-3.61906685175661e-16,6.35536461690677,411.001809939369,-5.69450703446509e-17,1
"25","SP-MSC","SP-TSC","BHI","Spread",-23.25,6.35536461690678,411.001809939345,-3.65832668957332,0.00162828532111736
"26","SP-MSC","HHR-TSC","BHI","Spread",7.5,6.35536461690678,411.001809939345,1.18010538373333,0.639775443966534
"27","SP-MSC","STSE","BHI","Spread",7.50000000000001,6.35536461690678,411.001809939345,1.18010538373333,0.639775443966534
"28","SP-TSC","HHR-TSC","BHI","Spread",30.75,6.35536461690677,411.001809939357,4.83843207330666,1.10136491671131e-05
"29","SP-TSC","STSE","BHI","Spread",30.75,6.35536461690677,411.001809939357,4.83843207330666,1.10136491671131e-05
"30","HHR-TSC","STSE","BHI","Spread",1.37823780166357e-15,6.35536461690677,411.001809939357,2.1686211330773e-16,1
"31","SP-MSC","SP-TSC","PCMA","Spread",-21.25,6.35536461690678,411.001809939357,-3.34363192057776,0.00498275049899521
"32","SP-MSC","HHR-TSC","PCMA","Spread",9.00000000000001,6.35536461690678,411.001809939357,1.41612646048,0.48994985733226
"33","SP-MSC","STSE","PCMA","Spread",9.00000000000001,6.35536461690677,411.001809939357,1.41612646048,0.489949857332259
"34","SP-TSC","HHR-TSC","PCMA","Spread",30.25,6.35536461690679,411.001809939357,4.75975838105775,1.59536839168251e-05
"35","SP-TSC","STSE","PCMA","Spread",30.25,6.35536461690678,411.001809939357,4.75975838105776,1.59536839168251e-05
"36","HHR-TSC","STSE","PCMA","Spread",-3.98119037736677e-16,6.35536461690678,411.001809939357,-6.2642989306638e-17,1
"37","SP-MSC","SP-TSC","SMA","Spread",-3.05555555555555,6.69914251675628,411.001809939357,-0.456111442309642,0.968415307020052
"38","SP-MSC","HHR-TSC","SMA","Spread",5,6.69914251675628,411.001809939357,0.74636417832487,0.878190399036443
"39","SP-MSC","STSE","SMA","Spread",10.5555555555556,6.69914251675629,411.001809939357,1.57565770979695,0.393690493683089
"40","SP-TSC","HHR-TSC","SMA","Spread",8.05555555555555,6.69914251675629,411.001809939357,1.20247562063451,0.625614552020477
"41","SP-TSC","STSE","SMA","Spread",13.6111111111111,6.69914251675628,411.001809939357,2.03176915210659,0.178013534434483
"42","HHR-TSC","STSE","SMA","Spread",5.55555555555556,6.69914251675629,411.001809939357,0.829293531472076,0.840549360580571
"43","SP-MSC","SP-TSC","TSAwS","Spread",-17.25,6.35536461690678,411.001809939357,-2.71424238258666,0.0347934328722068
"44","SP-MSC","HHR-TSC","TSAwS","Spread",11.75,6.35536461690678,411.001809939357,1.84883176784888,0.252089157766926
"45","SP-MSC","STSE","TSAwS","Spread",11.75,6.35536461690677,411.001809939357,1.84883176784889,0.252089157766925
"46","SP-TSC","HHR-TSC","TSAwS","Spread",29,6.35536461690678,411.001809939357,4.56307415043554,3.93833962569756e-05
"47","SP-TSC","STSE","TSAwS","Spread",29,6.35536461690677,411.001809939357,4.56307415043554,3.93833962569756e-05
"48","HHR-TSC","STSE","TSAwS","Spread",8.23993651088983e-17,6.35536461690678,411.001809939357,1.29653245841626e-17,1
"49","SP-MSC","SP-TSC","BHI","SpreadwOverlay",-4.25,6.35536461690678,411.001809939345,-0.668726384115553,0.908831398345115
"50","SP-MSC","HHR-TSC","BHI","SpreadwOverlay",1.75,6.35536461690678,411.001809939357,0.27535792287111,0.992698872960443
"51","SP-MSC","STSE","BHI","SpreadwOverlay",1.75,6.35536461690677,411.001809939345,0.275357922871111,0.992698872960443
"52","SP-TSC","HHR-TSC","BHI","SpreadwOverlay",6,6.35536461690678,411.001809939357,0.944084306986663,0.781059571729341
"53","SP-TSC","STSE","BHI","SpreadwOverlay",6,6.35536461690678,411.001809939357,0.944084306986664,0.781059571729341
"54","HHR-TSC","STSE","BHI","SpreadwOverlay",4.04277306076395e-15,6.35536461690678,411.001809939357,6.36119767229281e-16,1
"55","SP-MSC","SP-TSC","PCMA","SpreadwOverlay",-8.24999999999999,6.35536461690677,411.001809939357,-1.29811592210666,0.564638979238358
"56","SP-MSC","HHR-TSC","PCMA","SpreadwOverlay",5,6.35536461690678,411.001809939357,0.786736922488887,0.86047245232954
"57","SP-MSC","STSE","PCMA","SpreadwOverlay",5,6.35536461690677,411.001809939357,0.786736922488888,0.86047245232954
"58","SP-TSC","HHR-TSC","PCMA","SpreadwOverlay",13.25,6.35536461690678,411.001809939357,2.08485284459555,0.159751376460054
"59","SP-TSC","STSE","PCMA","SpreadwOverlay",13.25,6.35536461690678,411.001809939357,2.08485284459555,0.159751376460054
"60","HHR-TSC","STSE","PCMA","SpreadwOverlay",-5.09141340199193e-16,6.35536461690678,411.001809939357,-8.0112058220036e-17,1
"61","SP-MSC","SP-TSC","SMA","SpreadwOverlay",-15.8333333333333,6.69914251675629,411.001809939357,-2.36348656469542,0.0858720353759151
"62","SP-MSC","HHR-TSC","SMA","SpreadwOverlay",4.61718337174677e-15,6.69914251675629,411.001809939357,6.89220054685805e-16,1
"63","SP-MSC","STSE","SMA","SpreadwOverlay",3.10862446895044e-15,6.69914251675629,411.001809939357,4.64033189497755e-16,1
"64","SP-TSC","HHR-TSC","SMA","SpreadwOverlay",15.8333333333333,6.69914251675629,411.001809939357,2.36348656469542,0.0858720353759149
"65","SP-TSC","STSE","SMA","SpreadwOverlay",15.8333333333333,6.69914251675629,411.001809939357,2.36348656469542,0.0858720353759151
"66","HHR-TSC","STSE","SMA","SpreadwOverlay",-1.50834206236183e-15,6.69914251675628,411.001809939357,-2.25154496801506e-16,1
"67","SP-MSC","SP-TSC","TSAwS","SpreadwOverlay",-13.25,6.35536461690677,411.001809939357,-2.08485284459555,0.159751376460053
"68","SP-MSC","HHR-TSC","TSAwS","SpreadwOverlay",1,6.35536461690678,411.001809939357,0.157347384497778,0.998611270626851
"69","SP-MSC","STSE","TSAwS","SpreadwOverlay",1,6.35536461690677,411.001809939357,0.157347384497778,0.998611270626851
"70","SP-TSC","HHR-TSC","TSAwS","SpreadwOverlay",14.25,6.35536461690677,411.001809939357,2.24220022909333,0.11373083389981
"71","SP-TSC","STSE","TSAwS","SpreadwOverlay",14.25,6.35536461690677,411.001809939357,2.24220022909333,0.11373083389981
"72","HHR-TSC","STSE","TSAwS","SpreadwOverlay",-1.69417431472585e-15,6.35536461690678,411.001809939357,-2.66573897305427e-16,1
