"","powder","media","plating","test","mean_count","mean_spread_percent","mean_count_wNA","SPR","SPRs","temp_media","mean_count2","log_mean_count","log_mean_count_wNA","mean_spread_percent_wNA","SPRs_wNA","SPR_wNA"
"1","A","BHI","Pour","HHR.TSC",50,0,50,"no","none","Pour",50,1.69897000433602,1.69897000433602,0,"none","no"
"2","A","BHI","Pour","SP.MSC",120,0,120,"no","none","Pour",120,2.07918124604762,2.07918124604762,0,"none","no"
"3","A","BHI","Pour","SP.TSC",260,17.5,260,"no","no","Pour",260,2.41497334797082,2.41497334797082,17.5,"no","no"
"4","A","BHI","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"5","A","BHI","Spread","HHR.TSC",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"6","A","BHI","Spread","SP.MSC",120,0,120,"no","none","Spread",120,2.07918124604762,2.07918124604762,0,"none","no"
"7","A","BHI","Spread","SP.TSC",60,90,60,"yes","yes","Spread",60,1.77815125038364,1.77815125038364,90,"yes","yes"
"8","A","BHI","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"9","A","BHI","SpreadwOverlay","HHR.TSC",40,0,40,"no","none","SpreadwOverlay",40,1.60205999132796,1.60205999132796,0,"none","no"
"10","A","BHI","SpreadwOverlay","SP.MSC",300,0,300,"no","none","SpreadwOverlay",300,2.47712125471966,2.47712125471966,0,"none","no"
"11","A","BHI","SpreadwOverlay","SP.TSC",240,17.5,240,"no","no","SpreadwOverlay",240,2.38021124171161,2.38021124171161,17.5,"no","no"
"12","A","BHI","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"13","A","PCMA","Pour","HHR.TSC",40,0,40,"no","none","Pour",40,1.60205999132796,1.60205999132796,0,"none","no"
"14","A","PCMA","Pour","SP.MSC",150,0,150,"no","none","Pour",150,2.17609125905568,2.17609125905568,0,"none","no"
"15","A","PCMA","Pour","SP.TSC",250,45,250,"yes","yes","Pour",250,2.39794000867204,2.39794000867204,45,"yes","yes"
"16","A","PCMA","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"17","A","PCMA","Spread","HHR.TSC",60,0,60,"no","none","Spread",60,1.77815125038364,1.77815125038364,0,"none","no"
"18","A","PCMA","Spread","SP.MSC",100,15,100,"no","no","Spread",100,2,2,15,"no","no"
"19","A","PCMA","Spread","SP.TSC",140,75,140,"yes","yes","Spread",140,2.14612803567824,2.14612803567824,75,"yes","yes"
"20","A","PCMA","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"21","A","PCMA","SpreadwOverlay","HHR.TSC",20,0,20,"no","none","SpreadwOverlay",20,1.30102999566398,1.30102999566398,0,"none","no"
"22","A","PCMA","SpreadwOverlay","SP.MSC",80,0,80,"no","none","SpreadwOverlay",80,1.90308998699194,1.90308998699194,0,"none","no"
"23","A","PCMA","SpreadwOverlay","SP.TSC",500,5,500,"no","no","SpreadwOverlay",500,2.69897000433602,2.69897000433602,5,"no","no"
"24","A","PCMA","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"25","A","SMA","Pour","HHR.TSC",30,0,30,"no","none","Pour",30,1.47712125471966,1.47712125471966,0,"none","no"
"26","A","SMA","Pour","SP.MSC",180,0,180,"no","none","Pour",180,2.25527250510331,2.25527250510331,0,"none","no"
"27","A","SMA","Pour","SP.TSC",470,7.5,470,"no","no","Pour",470,2.67209785793572,2.67209785793572,7.5,"no","no"
"28","A","SMA","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"29","A","SMA","Spread","HHR.TSC",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"30","A","SMA","Spread","SP.MSC",120,0,120,"no","none","Spread",120,2.07918124604762,2.07918124604762,0,"none","no"
"31","A","SMA","Spread","SP.TSC",600,5,600,"no","no","Spread",600,2.77815125038364,2.77815125038364,5,"no","no"
"32","A","SMA","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"33","A","SMA","SpreadwOverlay","HHR.TSC",20,0,20,"no","none","SpreadwOverlay",20,1.30102999566398,1.30102999566398,0,"none","no"
"34","A","SMA","SpreadwOverlay","SP.MSC",100,0,100,"no","none","SpreadwOverlay",100,2,2,0,"none","no"
"35","A","SMA","SpreadwOverlay","SP.TSC",500,12.5,500,"no","no","SpreadwOverlay",500,2.69897000433602,2.69897000433602,12.5,"no","no"
"36","A","SMA","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"37","A","TSAwS","Pour","HHR.TSC",70,0,70,"no","none","Pour",70,1.84509804001426,1.84509804001426,0,"none","no"
"38","A","TSAwS","Pour","SP.MSC",110,0,110,"no","none","Pour",110,2.04139268515822,2.04139268515822,0,"none","no"
"39","A","TSAwS","Pour","SP.TSC",340,35,340,"yes","yes","Pour",340,2.53147891704225,2.53147891704225,35,"yes","yes"
"40","A","TSAwS","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"41","A","TSAwS","Spread","HHR.TSC",20,0,20,"no","none","Spread",20,1.30102999566398,1.30102999566398,0,"none","no"
"42","A","TSAwS","Spread","SP.MSC",200,30,200,"yes","yes","Spread",200,2.30102999566398,2.30102999566398,30,"yes","yes"
"43","A","TSAwS","Spread","SP.TSC",80,75,80,"yes","yes","Spread",80,1.90308998699194,1.90308998699194,75,"yes","yes"
"44","A","TSAwS","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"45","A","TSAwS","SpreadwOverlay","HHR.TSC",60,0,60,"no","none","SpreadwOverlay",60,1.77815125038364,1.77815125038364,0,"none","no"
"46","A","TSAwS","SpreadwOverlay","SP.MSC",100,0,100,"no","none","SpreadwOverlay",100,2,2,0,"none","no"
"47","A","TSAwS","SpreadwOverlay","SP.TSC",140,0,140,"no","none","SpreadwOverlay",140,2.14612803567824,2.14612803567824,0,"none","no"
"48","A","TSAwS","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"49","B","BHI","Pour","HHR.TSC",12000,0,12000,"no","none","Pour",12000,4.07918124604763,4.07918124604763,0,"none","no"
"50","B","BHI","Pour","SP.MSC",390,0,390,"no","none","Pour",390,2.5910646070265,2.5910646070265,0,"none","no"
"51","B","BHI","Pour","SP.TSC",157000,0,157000,"no","none","Pour",157000,5.19589965240923,5.19589965240923,0,"none","no"
"52","B","BHI","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"53","B","BHI","Spread","HHR.TSC",180,0,180,"no","none","Spread",180,2.25527250510331,2.25527250510331,0,"none","no"
"54","B","BHI","Spread","SP.MSC",280,0,280,"no","none","Spread",280,2.44715803134222,2.44715803134222,0,"none","no"
"55","B","BHI","Spread","SP.TSC",6000,0,6000,"no","none","Spread",6000,3.77815125038364,3.77815125038364,0,"none","no"
"56","B","BHI","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"57","B","BHI","SpreadwOverlay","HHR.TSC",2680,0,2680,"no","none","SpreadwOverlay",2680,3.42813479402879,3.42813479402879,0,"none","no"
"58","B","BHI","SpreadwOverlay","SP.MSC",300,0,300,"no","none","SpreadwOverlay",300,2.47712125471966,2.47712125471966,0,"none","no"
"59","B","BHI","SpreadwOverlay","SP.TSC",40000,0,40000,"no","none","SpreadwOverlay",40000,4.60205999132796,4.60205999132796,0,"none","no"
"60","B","BHI","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"61","B","PCMA","Pour","HHR.TSC",94000,0,94000,"no","none","Pour",94000,4.9731278535997,4.9731278535997,0,"none","no"
"62","B","PCMA","Pour","SP.MSC",120,0,120,"no","none","Pour",120,2.07918124604762,2.07918124604762,0,"none","no"
"63","B","PCMA","Pour","SP.TSC",442000,0,442000,"no","none","Pour",442000,5.64542226934909,5.64542226934909,0,"none","no"
"64","B","PCMA","Pour","STSE",60,0,60,"no","none","Pour",60,1.77815125038364,1.77815125038364,0,"none","no"
"65","B","PCMA","Spread","HHR.TSC",34000,0,34000,"no","none","Spread",34000,4.53147891704226,4.53147891704226,0,"none","no"
"66","B","PCMA","Spread","SP.MSC",60,0,60,"no","none","Spread",60,1.77815125038364,1.77815125038364,0,"none","no"
"67","B","PCMA","Spread","SP.TSC",474000,0,474000,"no","none","Spread",474000,5.67577834167408,5.67577834167408,0,"none","no"
"68","B","PCMA","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"69","B","PCMA","SpreadwOverlay","HHR.TSC",50000,0,50000,"no","none","SpreadwOverlay",50000,4.69897000433602,4.69897000433602,0,"none","no"
"70","B","PCMA","SpreadwOverlay","SP.MSC",120,0,120,"no","none","SpreadwOverlay",120,2.07918124604762,2.07918124604762,0,"none","no"
"71","B","PCMA","SpreadwOverlay","SP.TSC",402000,0,402000,"no","none","SpreadwOverlay",402000,5.60422605308447,5.60422605308447,0,"none","no"
"72","B","PCMA","SpreadwOverlay","STSE",40,0,40,"no","none","SpreadwOverlay",40,1.60205999132796,1.60205999132796,0,"none","no"
"73","B","SMA","Pour","HHR.TSC",45000,0,45000,"no","none","Pour",45000,4.65321251377534,4.65321251377534,0,"none","no"
"74","B","SMA","Pour","SP.MSC",230,0,230,"no","none","Pour",230,2.36172783601759,2.36172783601759,0,"none","no"
"75","B","SMA","Pour","SP.TSC",341000,0,341000,"no","none","Pour",341000,5.5327543789925,5.5327543789925,0,"none","no"
"76","B","SMA","Pour","STSE",90,0,90,"no","none","Pour",90,1.95424250943932,1.95424250943932,0,"none","no"
"77","B","SMA","Spread","HHR.TSC",62000,0,62000,"no","none","Spread",62000,4.79239168949825,4.79239168949825,0,"none","no"
"78","B","SMA","Spread","SP.MSC",200,0,200,"no","none","Spread",200,2.30102999566398,2.30102999566398,0,"none","no"
"79","B","SMA","Spread","SP.TSC",426000,0,426000,"no","none","Spread",426000,5.62940959910272,5.62940959910272,0,"none","no"
"80","B","SMA","Spread","STSE",40,0,40,"no","none","Spread",40,1.60205999132796,1.60205999132796,0,"none","no"
"81","B","SMA","SpreadwOverlay","HHR.TSC",56000,0,56000,"no","none","SpreadwOverlay",56000,4.7481880270062,4.7481880270062,0,"none","no"
"82","B","SMA","SpreadwOverlay","SP.MSC",280,0,280,"no","none","SpreadwOverlay",280,2.44715803134222,2.44715803134222,0,"none","no"
"83","B","SMA","SpreadwOverlay","SP.TSC",352000,0,352000,"no","none","SpreadwOverlay",352000,5.54654266347813,5.54654266347813,0,"none","no"
"84","B","SMA","SpreadwOverlay","STSE",120,0,120,"no","none","SpreadwOverlay",120,2.07918124604762,2.07918124604762,0,"none","no"
"85","B","TSAwS","Pour","HHR.TSC",22000,0,22000,"no","none","Pour",22000,4.34242268082221,4.34242268082221,0,"none","no"
"86","B","TSAwS","Pour","SP.MSC",210,0,210,"no","none","Pour",210,2.32221929473392,2.32221929473392,0,"none","no"
"87","B","TSAwS","Pour","SP.TSC",181000,0,181000,"no","none","Pour",181000,5.25767857486918,5.25767857486918,0,"none","no"
"88","B","TSAwS","Pour","STSE",0,0,0,"no","none","Pour",5,0.698970004336019,0.698970004336019,0,"none","no"
"89","B","TSAwS","Spread","HHR.TSC",800,0,800,"no","none","Spread",800,2.90308998699194,2.90308998699194,0,"none","no"
"90","B","TSAwS","Spread","SP.MSC",220,0,220,"no","none","Spread",220,2.34242268082221,2.34242268082221,0,"none","no"
"91","B","TSAwS","Spread","SP.TSC",10000,0,10000,"no","none","Spread",10000,4,4,0,"none","no"
"92","B","TSAwS","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"93","B","TSAwS","SpreadwOverlay","HHR.TSC",4000,0,4000,"no","none","SpreadwOverlay",4000,3.60205999132796,3.60205999132796,0,"none","no"
"94","B","TSAwS","SpreadwOverlay","SP.MSC",240,0,240,"no","none","SpreadwOverlay",240,2.38021124171161,2.38021124171161,0,"none","no"
"95","B","TSAwS","SpreadwOverlay","SP.TSC",52000,0,52000,"no","none","SpreadwOverlay",52000,4.7160033436348,4.7160033436348,0,"none","no"
"96","B","TSAwS","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"97","C","BHI","Pour","HHR.TSC",160,0,160,"no","none","Pour",160,2.20411998265592,2.20411998265592,0,"none","no"
"98","C","BHI","Pour","SP.MSC",100,0,100,"no","none","Pour",100,2,2,0,"none","no"
"99","C","BHI","Pour","SP.TSC",540,25,540,"no","no","Pour",540,2.73239375982297,2.73239375982297,25,"no","no"
"100","C","BHI","Pour","STSE",70,0,70,"no","none","Pour",70,1.84509804001426,1.84509804001426,0,"none","no"
"101","C","BHI","Spread","HHR.TSC",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"102","C","BHI","Spread","SP.MSC",140,7.5,140,"no","no","Spread",140,2.14612803567824,2.14612803567824,7.5,"no","no"
"103","C","BHI","Spread","SP.TSC",80,30,80,"yes","yes","Spread",80,1.90308998699194,1.90308998699194,30,"yes","yes"
"104","C","BHI","Spread","STSE",0,0,0,"no","none","Spread",10,1,1,0,"none","no"
"105","C","BHI","SpreadwOverlay","HHR.TSC",120,0,120,"no","none","SpreadwOverlay",120,2.07918124604762,2.07918124604762,0,"none","no"
"106","C","BHI","SpreadwOverlay","SP.MSC",120,0,120,"no","none","SpreadwOverlay",120,2.07918124604762,2.07918124604762,0,"none","no"
"107","C","BHI","SpreadwOverlay","SP.TSC",160,5,160,"no","no","SpreadwOverlay",160,2.20411998265592,2.20411998265592,5,"no","no"
"108","C","BHI","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"109","C","PCMA","Pour","HHR.TSC",160,0,160,"no","none","Pour",160,2.20411998265592,2.20411998265592,0,"none","no"
"110","C","PCMA","Pour","SP.MSC",80,0,80,"no","none","Pour",80,1.90308998699194,1.90308998699194,0,"none","no"
"111","C","PCMA","Pour","SP.TSC",240,40,240,"yes","yes","Pour",240,2.38021124171161,2.38021124171161,40,"yes","yes"
"112","C","PCMA","Pour","STSE",80,0,80,"no","none","Pour",80,1.90308998699194,1.90308998699194,0,"none","no"
"113","C","PCMA","Spread","HHR.TSC",60,0,60,"no","none","Spread",60,1.77815125038364,1.77815125038364,0,"none","no"
"114","C","PCMA","Spread","SP.MSC",40,0,40,"no","none","Spread",40,1.60205999132796,1.60205999132796,0,"none","no"
"115","C","PCMA","Spread","SP.TSC",160,57.5,160,"yes","yes","Spread",160,2.20411998265592,2.20411998265592,57.5,"yes","yes"
"116","C","PCMA","Spread","STSE",60,0,60,"no","none","Spread",60,1.77815125038364,1.77815125038364,0,"none","no"
"117","C","PCMA","SpreadwOverlay","HHR.TSC",40,0,40,"no","none","SpreadwOverlay",40,1.60205999132796,1.60205999132796,0,"none","no"
"118","C","PCMA","SpreadwOverlay","SP.MSC",100,0,100,"no","none","SpreadwOverlay",100,2,2,0,"none","no"
"119","C","PCMA","SpreadwOverlay","SP.TSC",300,15,300,"no","no","SpreadwOverlay",300,2.47712125471966,2.47712125471966,15,"no","no"
"120","C","PCMA","SpreadwOverlay","STSE",20,0,20,"no","none","SpreadwOverlay",20,1.30102999566398,1.30102999566398,0,"none","no"
"121","C","SMA","Pour","HHR.TSC",250,0,250,"no","none","Pour",250,2.39794000867204,2.39794000867204,0,"none","no"
"122","C","SMA","Pour","SP.MSC",130,0,130,"no","none","Pour",130,2.11394335230684,2.11394335230684,0,"none","no"
"123","C","SMA","Pour","SP.TSC",450,50,450,"yes","yes","Pour",450,2.65321251377534,2.65321251377534,50,"yes","yes"
"124","C","SMA","Pour","STSE",30,0,30,"no","none","Pour",30,1.47712125471966,1.47712125471966,0,"none","no"
"125","C","SMA","Spread","HHR.TSC",220,0,220,"no","none","Spread",220,2.34242268082221,2.34242268082221,0,"none","no"
"126","C","SMA","Spread","SP.MSC",100,0,100,"no","none","Spread",100,2,2,0,"none","no"
"127","C","SMA","Spread","SP.TSC",440,32.5,440,"yes","yes","Spread",440,2.64345267648619,2.64345267648619,32.5,"yes","yes"
"128","C","SMA","Spread","STSE",20,0,20,"no","none","Spread",20,1.30102999566398,1.30102999566398,0,"none","no"
"129","C","SMA","SpreadwOverlay","HHR.TSC",240,0,240,"no","none","SpreadwOverlay",240,2.38021124171161,2.38021124171161,0,"none","no"
"130","C","SMA","SpreadwOverlay","SP.MSC",60,0,60,"no","none","SpreadwOverlay",60,1.77815125038364,1.77815125038364,0,"none","no"
"131","C","SMA","SpreadwOverlay","SP.TSC",440,12.5,440,"no","no","SpreadwOverlay",440,2.64345267648619,2.64345267648619,12.5,"no","no"
"132","C","SMA","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"133","C","TSAwS","Pour","HHR.TSC",300,0,300,"no","none","Pour",300,2.47712125471966,2.47712125471966,0,"none","no"
"134","C","TSAwS","Pour","SP.MSC",150,0,150,"no","none","Pour",150,2.17609125905568,2.17609125905568,0,"none","no"
"135","C","TSAwS","Pour","SP.TSC",50,90,50,"yes","yes","Pour",50,1.69897000433602,1.69897000433602,90,"yes","yes"
"136","C","TSAwS","Pour","STSE",50,0,50,"no","none","Pour",50,1.69897000433602,1.69897000433602,0,"none","no"
"137","C","TSAwS","Spread","HHR.TSC",20,0,20,"no","none","Spread",20,1.30102999566398,1.30102999566398,0,"none","no"
"138","C","TSAwS","Spread","SP.MSC",180,0,180,"no","none","Spread",180,2.25527250510331,2.25527250510331,0,"none","no"
"139","C","TSAwS","Spread","SP.TSC",80,30,80,"yes","yes","Spread",80,1.90308998699194,1.90308998699194,30,"yes","yes"
"140","C","TSAwS","Spread","STSE",20,0,20,"no","none","Spread",20,1.30102999566398,1.30102999566398,0,"none","no"
"141","C","TSAwS","SpreadwOverlay","HHR.TSC",40,0,40,"no","none","SpreadwOverlay",40,1.60205999132796,1.60205999132796,0,"none","no"
"142","C","TSAwS","SpreadwOverlay","SP.MSC",200,0,200,"no","none","SpreadwOverlay",200,2.30102999566398,2.30102999566398,0,"none","no"
"143","C","TSAwS","SpreadwOverlay","SP.TSC",360,85,360,"yes","yes","SpreadwOverlay",360,2.55630250076729,2.55630250076729,85,"yes","yes"
"144","C","TSAwS","SpreadwOverlay","STSE",0,0,0,"no","none","SpreadwOverlay",10,1,1,0,"none","no"
"145","D","BHI","Pour","HHR.TSC",4960,0,4960,"no","none","Pour",4960,3.6954816764902,3.6954816764902,0,"none","no"
"146","D","BHI","Pour","SP.MSC",240,0,240,"no","none","Pour",240,2.38021124171161,2.38021124171161,0,"none","no"
"147","D","BHI","Pour","SP.TSC",11000,0,11000,"no","none","Pour",11000,4.04139268515823,4.04139268515823,0,"none","no"
"148","D","BHI","Pour","STSE",250,0,250,"no","none","Pour",250,2.39794000867204,2.39794000867204,0,"none","no"
"149","D","BHI","Spread","HHR.TSC",500,0,500,"no","none","Spread",500,2.69897000433602,2.69897000433602,0,"none","no"
"150","D","BHI","Spread","SP.MSC",160,0,160,"no","none","Spread",160,2.20411998265592,2.20411998265592,0,"none","no"
"151","D","BHI","Spread","SP.TSC",6920,37.5,6920,"yes","yes","Spread",6920,3.84010609445676,3.84010609445676,37.5,"yes","yes"
"152","D","BHI","Spread","STSE",40,0,40,"no","none","Spread",40,1.60205999132796,1.60205999132796,0,"none","no"
"153","D","BHI","SpreadwOverlay","HHR.TSC",2260,0,2260,"no","none","SpreadwOverlay",2260,3.3541084391474,3.3541084391474,0,"none","no"
"154","D","BHI","SpreadwOverlay","SP.MSC",220,0,220,"no","none","SpreadwOverlay",220,2.34242268082221,2.34242268082221,0,"none","no"
"155","D","BHI","SpreadwOverlay","SP.TSC",6000,0,6000,"no","none","SpreadwOverlay",6000,3.77815125038364,3.77815125038364,0,"none","no"
"156","D","BHI","SpreadwOverlay","STSE",180,0,180,"no","none","SpreadwOverlay",180,2.25527250510331,2.25527250510331,0,"none","no"
"157","D","PCMA","Pour","HHR.TSC",2100,0,2100,"no","none","Pour",2100,3.32221929473392,3.32221929473392,0,"none","no"
"158","D","PCMA","Pour","SP.MSC",80,0,80,"no","none","Pour",80,1.90308998699194,1.90308998699194,0,"none","no"
"159","D","PCMA","Pour","SP.TSC",88000,0,88000,"no","none","Pour",88000,4.94448267215017,4.94448267215017,0,"none","no"
"160","D","PCMA","Pour","STSE",590,0,590,"no","none","Pour",590,2.77085201164214,2.77085201164214,0,"none","no"
"161","D","PCMA","Spread","HHR.TSC",1360,0,1360,"no","none","Spread",1360,3.13353890837022,3.13353890837022,0,"none","no"
