powder,test,media,mean_count,lab
A,HHR.TSC,PCMA,60,UC
A,HHR.TSC,TSAwS,20,UC
A,SP.MSC,PCMA,100,UC
A,SP.MSC,TSAwS,200,UC
A,STSE,PCMA,0,UC
A,STSE,TSAwS,0,UC
B,HHR.TSC,PCMA,34000,UC
B,HHR.TSC,TSAwS,800,UC
B,SP.MSC,PCMA,60,UC
B,SP.MSC,TSAwS,220,UC
B,STSE,PCMA,0,UC
B,STSE,TSAwS,0,UC
C,HHR.TSC,PCMA,60,UC
C,HHR.TSC,TSAwS,20,UC
C,SP.MSC,PCMA,40,UC
C,SP.MSC,TSAwS,180,UC
C,STSE,PCMA,60,UC
C,STSE,TSAwS,20,UC
D,HHR.TSC,PCMA,1360,UC
D,HHR.TSC,TSAwS,2900,UC
D,SP.MSC,PCMA,200,UC
D,SP.MSC,TSAwS,160,UC
D,STSE,PCMA,400,UC
D,STSE,TSAwS,120,UC
E,HHR.TSC,PCMA,140,UC
E,HHR.TSC,TSAwS,40,UC
E,SP.MSC,PCMA,320,UC
E,SP.MSC,TSAwS,160,UC
E,STSE,PCMA,0,UC
E,STSE,TSAwS,0,UC
F,HHR.TSC,PCMA,2620,UC
F,HHR.TSC,TSAwS,4960,UC
F,SP.MSC,PCMA,20,UC
F,SP.MSC,TSAwS,100,UC
F,STSE,PCMA,2500,UC
F,STSE,TSAwS,660,UC
G,HHR.TSC,PCMA,1320,UC
G,HHR.TSC,TSAwS,280,UC
G,SP.MSC,PCMA,140,UC
G,SP.MSC,TSAwS,300,UC
G,STSE,PCMA,120,UC
G,STSE,TSAwS,0,UC
H,HHR.TSC,PCMA,120,UC
H,HHR.TSC,TSAwS,20,UC
H,SP.MSC,PCMA,120,UC
H,SP.MSC,TSAwS,100,UC
H,STSE,PCMA,40,UC
H,STSE,TSAwS,0,UC
I,HHR.TSC,PCMA,20000,UC
I,HHR.TSC,TSAwS,80,UC
I,SP.MSC,PCMA,20,UC
I,SP.MSC,TSAwS,180,UC
I,STSE,PCMA,120,UC
I,STSE,TSAwS,0,UC
J,HHR.TSC,PCMA,1500,UC
J,HHR.TSC,TSAwS,280,UC
J,SP.MSC,PCMA,40,UC
J,SP.MSC,TSAwS,80,UC
J,STSE,PCMA,600,UC
J,STSE,TSAwS,0,UC
A,HHR.TSC,PCMA,0,UA
A,HHR.TSC,TSAwS,0,UA
A,STSE,PCMA,20,UA
A,STSE,TSAwS,0,UA
A,SP.MSC,PCMA,20,UA
A,SP.MSC,TSAwS,100,UA
B,HHR.TSC,PCMA,3120,UA
B,HHR.TSC,TSAwS,220,UA
B,STSE,PCMA,0,UA
B,STSE,TSAwS,0,UA
B,SP.MSC,PCMA,100,UA
B,SP.MSC,TSAwS,220,UA
C,HHR.TSC,PCMA,160,UA
C,HHR.TSC,TSAwS,120,UA
C,STSE,PCMA,40,UA
C,STSE,TSAwS,20,UA
C,SP.MSC,PCMA,20,UA
C,SP.MSC,TSAwS,60,UA
D,HHR.TSC,PCMA,360,UA
D,HHR.TSC,TSAwS,160,UA
D,STSE,PCMA,100,UA
D,STSE,TSAwS,0,UA
D,SP.MSC,PCMA,60,UA
D,SP.MSC,TSAwS,120,UA
E,HHR.TSC,PCMA,40,UA
E,HHR.TSC,TSAwS,0,UA
E,STSE,PCMA,20,UA
E,STSE,TSAwS,20,UA
E,SP.MSC,PCMA,280,UA
E,SP.MSC,TSAwS,260,UA
F,HHR.TSC,PCMA,7180,UA
F,HHR.TSC,TSAwS,4100,UA
F,STSE,PCMA,2940,UA
F,STSE,TSAwS,1080,UA
F,SP.MSC,PCMA,20,UA
F,SP.MSC,TSAwS,20,UA
G,HHR.TSC,PCMA,1400,UA
G,HHR.TSC,TSAwS,160,UA
G,STSE,PCMA,340,UA
G,STSE,TSAwS,40,UA
G,SP.MSC,PCMA,20,UA
G,SP.MSC,TSAwS,220,UA
H,HHR.TSC,PCMA,2200,UA
H,HHR.TSC,TSAwS,0,UA
H,STSE,PCMA,0,UA
H,STSE,TSAwS,0,UA
H,SP.MSC,PCMA,60,UA
H,SP.MSC,TSAwS,240,UA
I,HHR.TSC,PCMA,80,UA
I,HHR.TSC,TSAwS,20,UA
I,STSE,PCMA,0,UA
I,STSE,TSAwS,0,UA
I,SP.MSC,PCMA,80,UA
I,SP.MSC,TSAwS,60,UA
J,HHR.TSC,PCMA,880,UA
J,HHR.TSC,TSAwS,740,UA
J,STSE,PCMA,160,UA
J,STSE,TSAwS,60,UA
J,SP.MSC,PCMA,40,UA
J,SP.MSC,TSAwS,20,UA
A,HHR.TSC,PCMA,20,UB
A,HHR.TSC,TSAwS,20,UB
A,STSE,PCMA,0,UB
A,STSE,TSAwS,0,UB
A,SP.MSC,PCMA,60,UB
A,SP.MSC,TSAwS,320,UB
B,HHR.TSC,PCMA,8320,UB
B,HHR.TSC,TSAwS,640,UB
B,STSE,PCMA,0,UB
B,STSE,TSAwS,0,UB
B,SP.MSC,PCMA,43200,UB
B,SP.MSC,TSAwS,320,UB
C,HHR.TSC,PCMA,120,UB
C,HHR.TSC,TSAwS,80,UB
C,STSE,PCMA,0,UB
C,STSE,TSAwS,0,UB
C,SP.MSC,PCMA,60,UB
C,SP.MSC,TSAwS,40,UB
D,HHR.TSC,PCMA,220,UB
D,HHR.TSC,TSAwS,120,UB
D,STSE,PCMA,40,UB
D,STSE,TSAwS,60,UB
D,SP.MSC,PCMA,100,UB
D,SP.MSC,TSAwS,100,UB
E,HHR.TSC,PCMA,100,UB
E,HHR.TSC,TSAwS,40,UB
E,STSE,PCMA,0,UB
E,STSE,TSAwS,0,UB
E,SP.MSC,PCMA,1400,UB
E,SP.MSC,TSAwS,1200,UB
F,HHR.TSC,PCMA,5200,UB
F,HHR.TSC,TSAwS,3120,UB
F,STSE,PCMA,1080,UB
F,STSE,TSAwS,800,UB
F,SP.MSC,PCMA,40,UB
F,SP.MSC,TSAwS,80,UB
G,HHR.TSC,PCMA,760,UB
G,HHR.TSC,TSAwS,480,UB
G,STSE,PCMA,60,UB
G,STSE,TSAwS,60,UB
G,SP.MSC,PCMA,480,UB
G,SP.MSC,TSAwS,620,UB
H,HHR.TSC,PCMA,60,UB
H,HHR.TSC,TSAwS,60,UB
H,STSE,PCMA,0,UB
H,STSE,TSAwS,0,UB
H,SP.MSC,PCMA,140,UB
H,SP.MSC,TSAwS,120,UB
I,HHR.TSC,PCMA,1360,UB
I,HHR.TSC,TSAwS,60,UB
I,STSE,PCMA,0,UB
I,STSE,TSAwS,0,UB
I,SP.MSC,PCMA,10800,UB
I,SP.MSC,TSAwS,5120,UB
J,HHR.TSC,PCMA,1360,UB
J,HHR.TSC,TSAwS,720,UB
J,STSE,PCMA,220,UB
J,STSE,TSAwS,40,UB
J,SP.MSC,PCMA,0,UB
J,SP.MSC,TSAwS,0,UB
A,HHR.TSC,PCMA,0,UD
A,HHR.TSC,TSAwS,0,UD
A,STSE,PCMA,0,UD
A,STSE,TSAwS,0,UD
B,HHR.TSC,PCMA,420,UD
B,HHR.TSC,TSAwS,0,UD
B,STSE,PCMA,20,UD
B,STSE,TSAwS,0,UD
C,HHR.TSC,PCMA,120,UD
C,HHR.TSC,TSAwS,80,UD
C,STSE,PCMA,20,UD
C,STSE,TSAwS,0,UD
C,SP.MSC,TSAwS,60,UD
D,STSE,PCMA,0,UD
D,STSE,TSAwS,0,UD
E,HHR.TSC,PCMA,20,UD
E,HHR.TSC,TSAwS,0,UD
E,STSE,PCMA,0,UD
E,STSE,TSAwS,0,UD
F,HHR.TSC,PCMA,1180,UD
F,HHR.TSC,TSAwS,1680,UD
F,STSE,PCMA,1840,UD
F,STSE,TSAwS,1420,UD
G,HHR.TSC,PCMA,20,UD
G,HHR.TSC,TSAwS,0,UD
G,STSE,PCMA,40,UD
G,STSE,TSAwS,40,UD
H,HHR.TSC,PCMA,0,UD
H,HHR.TSC,TSAwS,0,UD
H,STSE,PCMA,0,UD
H,STSE,TSAwS,0,UD
I,HHR.TSC,PCMA,480,UD
I,STSE,PCMA,0,UD
I,STSE,TSAwS,0,UD
J,HHR.TSC,PCMA,0,UD
J,HHR.TSC,TSAwS,20,UD
J,STSE,PCMA,220,UD
J,STSE,TSAwS,20,UD